0;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;;;;;;;;;;;;;;;;;;;;;;;;
20060117;17/01/2006 00:00;mardi, janvier 17 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;17;Jour 17;17;Jour 17;17;Jour 17;17;Jour 17;2;Jour 2;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060118;18/01/2006 00:00;mercredi, janvier 18 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;18;Jour 18;18;Jour 18;18;Jour 18;18;Jour 18;3;Jour 3;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060119;19/01/2006 00:00;jeudi, janvier 19 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;19;Jour 19;19;Jour 19;19;Jour 19;19;Jour 19;4;Jour 4;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060120;20/01/2006 00:00;vendredi, janvier 20 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;20;Jour 20;20;Jour 20;20;Jour 20;20;Jour 20;5;Jour 5;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060121;21/01/2006 00:00;samedi, janvier 21 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;21;Jour 21;21;Jour 21;21;Jour 21;21;Jour 21;6;Jour 6;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060122;22/01/2006 00:00;dimanche, janvier 22 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;22;Jour 22;22;Jour 22;22;Jour 22;22;Jour 22;7;Jour 7;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060123;23/01/2006 00:00;lundi, janvier 23 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;23;Jour 23;23;Jour 23;23;Jour 23;23;Jour 23;1;Jour 1;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060124;24/01/2006 00:00;mardi, janvier 24 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;24;Jour 24;24;Jour 24;24;Jour 24;24;Jour 24;2;Jour 2;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060125;25/01/2006 00:00;mercredi, janvier 25 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;25;Jour 25;25;Jour 25;25;Jour 25;25;Jour 25;3;Jour 3;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060126;26/01/2006 00:00;jeudi, janvier 26 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;26;Jour 26;26;Jour 26;26;Jour 26;26;Jour 26;4;Jour 4;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060127;27/01/2006 00:00;vendredi, janvier 27 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;27;Jour 27;27;Jour 27;27;Jour 27;27;Jour 27;5;Jour 5;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060128;28/01/2006 00:00;samedi, janvier 28 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;28;Jour 28;28;Jour 28;28;Jour 28;28;Jour 28;6;Jour 6;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060129;29/01/2006 00:00;dimanche, janvier 29 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060123;23/01/2006 00:00;Semaine 5, 2006;29;Jour 29;29;Jour 29;29;Jour 29;29;Jour 29;7;Jour 7;5;Semaine 5;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060130;30/01/2006 00:00;lundi, janvier 30 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;30;Jour 30;30;Jour 30;30;Jour 30;30;Jour 30;1;Jour 1;6;Semaine 6;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060131;31/01/2006 00:00;mardi, janvier 31 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;31;Jour 31;31;Jour 31;31;Jour 31;31;Jour 31;2;Jour 2;6;Semaine 6;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060201;01/02/2006 00:00;mercredi, f‚vrier 01 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;32;Jour 32;32;Jour 32;32;Jour 32;1;Jour 1;3;Jour 3;6;Semaine 6;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060202;02/02/2006 00:00;jeudi, f‚vrier 02 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;33;Jour 33;33;Jour 33;33;Jour 33;2;Jour 2;4;Jour 4;6;Semaine 6;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060203;03/02/2006 00:00;vendredi, f‚vrier 03 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;34;Jour 34;34;Jour 34;34;Jour 34;3;Jour 3;5;Jour 5;6;Semaine 6;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060204;04/02/2006 00:00;samedi, f‚vrier 04 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;35;Jour 35;35;Jour 35;35;Jour 35;4;Jour 4;6;Jour 6;6;Semaine 6;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060205;05/02/2006 00:00;dimanche, f‚vrier 05 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060130;30/01/2006 00:00;Semaine 6, 2006;36;Jour 36;36;Jour 36;36;Jour 36;5;Jour 5;7;Jour 7;6;Semaine 6;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060206;06/02/2006 00:00;lundi, f‚vrier 06 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;37;Jour 37;37;Jour 37;37;Jour 37;6;Jour 6;1;Jour 1;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060207;07/02/2006 00:00;mardi, f‚vrier 07 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;38;Jour 38;38;Jour 38;38;Jour 38;7;Jour 7;2;Jour 2;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060208;08/02/2006 00:00;mercredi, f‚vrier 08 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;39;Jour 39;39;Jour 39;39;Jour 39;8;Jour 8;3;Jour 3;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060209;09/02/2006 00:00;jeudi, f‚vrier 09 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;40;Jour 40;40;Jour 40;40;Jour 40;9;Jour 9;4;Jour 4;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060210;10/02/2006 00:00;vendredi, f‚vrier 10 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;41;Jour 41;41;Jour 41;41;Jour 41;10;Jour 10;5;Jour 5;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060211;11/02/2006 00:00;samedi, f‚vrier 11 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;42;Jour 42;42;Jour 42;42;Jour 42;11;Jour 11;6;Jour 6;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060212;12/02/2006 00:00;dimanche, f‚vrier 12 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060206;06/02/2006 00:00;Semaine 7, 2006;43;Jour 43;43;Jour 43;43;Jour 43;12;Jour 12;7;Jour 7;7;Semaine 7;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060213;13/02/2006 00:00;lundi, f‚vrier 13 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;44;Jour 44;44;Jour 44;44;Jour 44;13;Jour 13;1;Jour 1;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060214;14/02/2006 00:00;mardi, f‚vrier 14 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;45;Jour 45;45;Jour 45;45;Jour 45;14;Jour 14;2;Jour 2;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060215;15/02/2006 00:00;mercredi, f‚vrier 15 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;46;Jour 46;46;Jour 46;46;Jour 46;15;Jour 15;3;Jour 3;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060216;16/02/2006 00:00;jeudi, f‚vrier 16 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;47;Jour 47;47;Jour 47;47;Jour 47;16;Jour 16;4;Jour 4;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060217;17/02/2006 00:00;vendredi, f‚vrier 17 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;48;Jour 48;48;Jour 48;48;Jour 48;17;Jour 17;5;Jour 5;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060218;18/02/2006 00:00;samedi, f‚vrier 18 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;49;Jour 49;49;Jour 49;49;Jour 49;18;Jour 18;6;Jour 6;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060219;19/02/2006 00:00;dimanche, f‚vrier 19 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060213;13/02/2006 00:00;Semaine 8, 2006;50;Jour 50;50;Jour 50;50;Jour 50;19;Jour 19;7;Jour 7;8;Semaine 8;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060220;20/02/2006 00:00;lundi, f‚vrier 20 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060220;20/02/2006 00:00;Semaine 9, 2006;51;Jour 51;51;Jour 51;51;Jour 51;20;Jour 20;1;Jour 1;9;Semaine 9;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060221;21/02/2006 00:00;mardi, f‚vrier 21 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060220;20/02/2006 00:00;Semaine 9, 2006;52;Jour 52;52;Jour 52;52;Jour 52;21;Jour 21;2;Jour 2;9;Semaine 9;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060222;22/02/2006 00:00;mercredi, f‚vrier 22 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060201;01/02/2006 00:00;février 2006;20060220;20/02/2006 00:00;Semaine 9, 2006;53;Jour 53;53;Jour 53;53;Jour 53;22;Jour 22;3;Jour 3;9;Semaine 9;2;Mois 2;2;Mois 2;2;Mois 2;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
